route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
9612,RGRTA,1 ,Lake / Park,,3,,,
9613,RGRTA,2 ,Thurston / Parsells,,3,,,
9614,RGRTA,3 ,Lyell / Goodman,,3,,,
9615,RGRTA,4 ,Genesee / Hudson,,3,,,
9616,RGRTA,5 ,South / Saint Paul,,3,,,
9617,RGRTA,6 ,Jefferson / Clifford,,3,,,
9618,RGRTA,7 ,Monroe / Clinton,,3,,,
9619,RGRTA,8 ,Chili / East Main,,3,,,
9620,RGRTA,9 ,Jay - Maple / Bay,,3,,,
9621,RGRTA,10 ,Dewey / Portland,,3,,,
9622,RGRTA,11 ,S. Clinton / Joseph,,3,,,
9623,RGRTA,12 ,19th Ward / MCC,,3,,,
9624,RGRTA,14 ,West Ridge / East Ridge,,3,,,
9625,RGRTA,15 ,Latta,,3,,,
9626,RGRTA,16 ,Crosstown/Driving Park/Emerson,,3,,,
9627,RGRTA,17 ,East,,3,,,
9628,RGRTA,18 ,University,,3,,,
9629,RGRTA,19 ,Plymouth,,3,,,
9630,RGRTA,20 ,Brockport,,3,,,
9631,RGRTA,21 ,East Rochester - Fairport,,3,,,
9632,RGRTA,22 ,Penfield,,3,,,
9633,RGRTA,24 ,Marketplace Mall,,3,,,
9634,RGRTA,28 ,RIT Campus Clockwise,,3,,,
9635,RGRTA,29 ,Tiger East End Express,,3,,,
9636,RGRTA,30 ,Webster,,3,,,
9637,RGRTA,RIT TE3,RIT TE3 Midday,,3,,,
9638,RGRTA,33 ,RIT Weekend/Holiday,,3,,,
9805,RGRTA,44 ,Hudson Limited,,3,,,
9639,RGRTA,50 ,Monroe Community College,,3,,,
9640,RGRTA,S1 ,Strong Hospital Greece P&R,,3,,,
9641,RGRTA,91 ,Suburban Plaza - Lima - Avon,,3,,,
9642,RGRTA,92 ,Perinton-Eastview-Newark-Lyons,,3,,,
9643,RGRTA,96 ,Hilton/Hamlin/Clarkson,,3,,,
9644,RGRTA,N1 ,Nazareth/Pittsford Plaza,,3,,,
9645,RGRTA,N3 ,Nazareth East End Express,,3,,,
9804,RGRTA,240 ,Marketplace Mall Express,,3,,,
9646,RGRTA,1X/18X ,Lake/University,,3,,,
9647,RGRTA,10X/18X ,Dewey/University,,3,,,
9648,RGRTA,16X/18X ,Crosstown/University,,3,,,
9649,RGRTA,3X/18X ,Lyell/University,,3,,,
9650,RGRTA,9X/18X ,Jay/University,,3,,,
9651,RGRTA,8X/18X ,Gen Pk Blvd/University,,3,,,
9652,RGRTA,2X/18X ,Thurston/University,,3,,,
9653,RGRTA,4X/18X ,Genesee/University,,3,,,
9654,RGRTA,6X/18X ,Jefferson/University,,3,,,
9655,RGRTA,5X/18X ,South/University,,3,,,
9656,RGRTA,11X/18X ,S Clinton/University,,3,,,
9657,RGRTA,8X/18X ,E Main/University,,3,,,
9658,RGRTA,2X/18X ,Parsells/University,,3,,,
9659,RGRTA,6X/18X ,Clifford/University,,3,,,
9660,RGRTA,10X/18X ,Portland/University,,3,,,
9661,RGRTA,11X/18X ,Hudson/University,,3,,,
9662,RGRTA,11X/18X ,Joseph/University,,3,,,
9663,RGRTA,7X/5X/18X ,Clinton/St Paul/Univ,,3,,,
