stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1,1,Airport & Brooks,AIRPORT RD,43.130536,-77.665754,,,,
2,2,Airport & Service Rd,AIRPORT RD & EASTSIDE WAY,43.129509,-77.662297,,,,
3,3,Airport & Terminal Lower Level,AIRPORT RD & EASTSIDE WAY,43.12795,-77.664456,,,,
4,4,Al Sigl Ctr & Main Entrance,UNNAMED ST,43.12535,-77.612899,,,,
9,9,Alexander & Gardiner,ALEXANDER ST & GARDINER PARK,43.153318,-77.59522,,,,
10,10,Alexander & Gardiner,ALEXANDER ST & GARDINER PARK,43.153319,-77.595421,,,,
17,17,Arnett & Genesee,ARNETT BLVD & GENESEE ST,43.142162,-77.636903,,,,
18,18,Arnett & Kenwood,ARNETT BLVD & KENWOOD AVE,43.142293,-77.639253,,,,
19,19,Arnett & Post,ARNETT BLVD & POST AVE,43.142174,-77.648223,,,,
20,20,Arnett & Post,,43.142342,-77.647859,,,,
21,21,Arnett & Rugby,ARNETT BLVD & RUGBY AVE,43.142155,-77.643471,,,,
22,22,Arnett & Rugby,ARNETT BLVD & RUGBY AVE,43.14229,-77.643586,,,,
23,23,Arnett & Wellington,ARNETT BLVD & WELLINGTON AVE,43.142303,-77.640612,,,,
24,24,Arnett & Wellington,ARNETT BLVD & WELLINGTON AVE,43.142175,-77.640896,,,,
25,25,Arnett & Woodbine,ARNETT BLVD & WOODBINE AVE,43.142168,-77.646083,,,,
26,26,Arnett & Woodbine,ARNETT BLVD & WOODBINE AVE,43.142306,-77.645646,,,,
33,33,Backus & 40 Backus,BACKUS ST & PHELPS AVE,43.172908,-77.632279,,,,
37,37,Backus & Bloss,BACKUS ST & BLOSS ST,43.170426,-77.632278,,,,
38,38,Backus & Phelps,BACKUS ST & PHELPS AVE,43.171534,-77.632169,,,,
39,39,Backus & Phelps,BACKUS ST & PHELPS AVE,43.171681,-77.632293,,,,
42,42,Bay & 1200 Bay,COUNTY HWY 16 & TERREL DR,43.193453,-77.506722,,,,
43,43,Bay & Leedale,COUNTY HWY 16 & LEEDALE DR,43.194867,-77.507617,,,,
44,44,Bay & 1073 Bay,COUNTY HWY 16 & LEEDALE DR,43.201961,-77.511963,,,,
